1510555673,43,233,43,670,43,97267,45,42
1510555978,43,711,43,1126,43,97382,45,42
1510556279,43,237,43,1274,43,97340,45,42
1510556577,43,149,43,1261,43,97277,45,42
1510556878,43,192,43,1310,43,97155,45,42
1510557178,43,186,43,1320,43,97154,45,42
1510557478,43,192,43,572,43,96778,45,42
1510557779,43,285,43,687,43,97015,45,42
1510558077,43,384,43,704,43,97014,45,42
1510558377,43,352,43,673,43,96761,45,42
1510558678,43,346,43,772,43,96764,45,42
1510558979,43,284,43,774,43,96786,45,42
1510559280,43,277,43,676,43,96880,45,42
1510559580,43,273,43,691,43,96770,45,42
1510559942,43,243,43,757,43,96707,45,42
1510560179,43,327,43,582,43,96599,45,42
1510560478,43,202,43,567,43,96023,45,42
1510560778,43,219,43,513,43,93718,45,42
1510561078,43,194,43,301,43,92391,45,42
1510561379,43,434,43,506,43,91806,45,42
1510561678,43,226,43,423,43,90511,45,42
1510561979,43,332,43,298,43,87220,45,42
1510562278,43,390,43,317,43,86935,45,42
1510562578,43,518,43,374,43,86748,45,42
1510562877,42,427,42,441,42,86497,45,42
1510563179,43,418,43,92,43,86491,45,42
1510563481,43,311,43,330,43,86606,45,42
1510563778,43,158,43,400,43,86153,45,42
1510564078,43,169,43,159,43,86174,45,42
1510564378,43,391,43,313,43,85922,45,42
1510564680,42,318,43,308,42,85986,45,42
1510564978,42,1648,42,386,42,86354,45,42
1510565277,42,575,42,306,42,85619,45,42
1510565579,42,422,42,248,42,85405,45,42
1510565879,42,676,42,190,42,85471,45,42
1510566178,42,1120,42,461,42,86035,45,42
1510566479,42,1039,42,281,42,86482,45,42
1510566778,42,935,42,460,42,86346,45,42
1510567078,42,371,42,348,42,87072,45,42
1510567378,42,239,42,168,42,87153,45,42
1510567678,43,357,43,285,43,87218,45,42
1510567978,42,252,42,338,42,87184,45,42
1510568279,43,347,43,368,43,87162,45,42
1510568578,42,379,43,157,42,86878,45,42
1510568877,42,388,42,214,42,86945,45,42
1510569177,42,211,42,323,42,86887,45,42
1510569478,43,341,43,142,43,87168,45,42
1510569778,43,409,43,186,43,88196,45,42
1510570078,43,530,43,204,43,87768,45,42
1510570378,43,240,43,295,43,85838,45,42
1510570679,43,301,43,221,43,85247,45,42
1510570977,43,193,43,311,43,84953,45,42
1510571279,43,459,43,354,43,84670,45,42
1510571578,43,305,43,291,43,84809,45,42
1510571879,43,453,43,323,43,84844,45,42
1510572178,43,324,43,197,43,84946,45,42
1510572479,43,490,43,279,43,84907,45,42
1510572780,43,382,43,368,43,84304,45,42
1510573078,43,301,43,291,43,83759,45,42
1510573378,43,305,43,405,43,83576,45,42
1510573679,43,466,43,148,43,83455,45,42
1510573979,43,343,43,147,43,84071,45,42
1510574277,43,421,43,105,43,84214,45,42
1510574579,43,258,43,307,43,84270,45,42
1510574878,43,371,43,235,43,84729,45,42
1510575178,43,289,43,278,43,84707,45,42
1510575479,43,290,43,304,43,84755,45,42
